session_id,name,date,model,provider,total_turns,human_turns,duration_min,biosignal,biosignal_samples,embedding_model,filename,directory,status
8638250a,,2025-11-20,GPT-OSS-20B,Semantic Climate,10,5,13.2,no,,all-MiniLM-L6-v2,semantic-climate-gpt-oss-20b-2025-11-20T13-42-16.json,research/archive-sessions,corpus
8ed5afc6,,2025-11-20,GPT-OSS-20B,Semantic Climate,36,18,34.9,no,,all-MiniLM-L6-v2,semantic-climate-gpt-oss-20b-2025-11-20T14-33-30.json,research/archive-sessions,corpus
9141f3a8,,2025-11-20,Llama 3.2,Ollama (local),10,5,14.0,no,,all-MiniLM-L6-v2,semantic-climate-llama3.2-latest-2025-11-20T13-13-07.json,research/archive-sessions,corpus
6c82c258,,2025-11-24,Llama 3.2,Ollama (local),30,15,156.0,no,,all-MiniLM-L6-v2,semantic-climate-llama3.2-latest-2025-11-24T08-01-08.json,research/archive-sessions,corpus
82ef88a9,,2025-11-29,GPT-OSS-20B,Semantic Climate,12,6,68.2,no,,all-MiniLM-L6-v2,semantic-climate-gpt-oss-20b-2025-11-29T07-25-50.json,research/archive-sessions,corpus
f9223ed9,,2025-11-29,Llama 3.2,Ollama (local),22,11,5.7,no,,all-MiniLM-L6-v2,semantic-climate-llama3.2-latest-2025-11-29T07-57-03.json,research/archive-sessions,corpus
ac031914,,2025-11-29,Llama 3.2,Ollama (local),50,25,78.3,no,,all-MiniLM-L6-v2,semantic-climate-llama3.2-latest-2025-11-29T13-17-24.json,research/archive-sessions,corpus
zoryagpt,ZoryaGPT,2025-12-01,Custom GPT (ZoryaGPT),OpenAI ChatGPT,10,5,25,yes,734,n/a (external platform),transcript_2025-12-01_pM_002725.md,paper-data/zoryagpt-session,analysed
fe4a1981,,2025-12-04,Llama 3.2,Ollama (local),28,14,24.3,no,,all-MiniLM-L6-v2,semantic-climate-llama3.2-latest-2025-12-04T13-32-28.json,research/archive-sessions,corpus
74896287,,2025-12-04,Llama 3.2,Ollama (local),32,16,20.5,no,,all-MiniLM-L6-v2,semantic-climate-llama3.2-latest-2025-12-04T23-48-56.json,research/archive-sessions,corpus
6d89b879,,2025-12-05,Llama 3.2,Ollama (local),20,10,10.1,no,,all-MiniLM-L6-v2,semantic-climate-llama3.2-latest-2025-12-05T00-19-26.json,research/archive-sessions,corpus
263d2a04,,2025-12-05,Llama 3.2,Ollama (local),50,25,66.3,no,,all-MiniLM-L6-v2,semantic-climate-llama3.2-latest-2025-12-05T09-46-23.json,research/archive-sessions,corpus
